Reference Descriptor,Reference,Descriptor,Primary,How to Prepare,Suggested Brands
Floral,Jasmine Green Tea,Floral,Floral,"Remove tea from bag, place one tea bag or 1 teaspoon in a plastic or glass cup and cover. Steep for 5 minutes and remove bag. 
","Bigelow Jasmine Green Tea, Twinings Jasmine Green Tea, Numi Jasmine Green Tea, Rika’s classic Te de Jazmin, Pique Green Jasmine Tea"
Floral,“Le Nez du Café Revelation” (36 vials) – Vial #12:  Coffee Blossom,Floral,Floral,One drop of oil on a cotton ball; place in a plastic or glass cup and cover. ,Jean Lenoir “Le Nez du Café” Revelations Edition (36 Aromas)
Floral,Scentone T100 –  Vial #68,Floral,Floral,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100 
Floral,Carnation Oil,Floral,Floral,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,"Salvia Carnation Oil, Nature’s Oil Floral Carnation Oil, Young Living/DoTerra Carnation Essential Oil"
Floral,White Grape Juice,Floral,Floral,Place juice in a plastic or glass cup and cover. ,Welch’s White Grape Juice
Fruity,Apple sauce (puree),Fruity,Fruity,"Dilute pure apple puree/sauce on a one-to-one ratio, place in a glass or plastic cup and cover. ","Gerber, Motts (be mindful of no spices added). "
Fruity,“Le Nez du Café Revelation” (36 vials) – Vial #17: Apple,Fruity,Fruity,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,Jean Lenoir “Le Nez du Café” Revelations Edition (36 Aromas)
Fruity,Scentone T100 – Vial #32 – Apple,Fruity,Fruity,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100 
Fruity,Kiwi-strawberry juice,Fruity,Fruity,Place juice in a plastic or glass cup and cover. ,Juicy-Juice 100% Juice Strawberry-Kiwi 
Berry,Strawberries,Berry,Fruity,Place all natural strawberries (ripe) in a glass or plastic container at room temperature and cover. ,Any
Berry,Strawberry syrup,Berry,Fruity,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
Berry,“Le Nez du Vin” – Vial #12: Strawberry,Berry,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Vin” 
Berry,Scentone T100 – Vial # 15: Strawberry,Berry,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",“Scentone” T100 
Dried Fruit,Raisins and Prunes,Dried Fruit,Fruity,¼ cup dry raisins and ¼ cup dry prunes chopped. Add ¾ cup water and cook in microwave on high for 2 minutes. Filter liquid with sieve. Place in a glass or plastic cup and cover. ,"Sun-Maid
"
Dried Fruit,Prune Juice,Dried Fruit,Fruity,Dilute 1 part juice to 2 parts water. Bring to room temperature for serving. Place in a glass or plastic cup and cover. ,Sunsweet
